name,_id,run_start_time,run_end_time,status,status_message,add_thermochromic_bipv.facade,add_thermochromic_bipv.switch_t,change_building_location.weather_file_name,create_bar_from_building_type_ratios.wwr,window_pv_reporting.building_area_ft,window_pv_reporting.building_elec_apr,window_pv_reporting.building_elec_aug,window_pv_reporting.building_elec_dec,window_pv_reporting.building_elec_feb,window_pv_reporting.building_elec_jan,window_pv_reporting.building_elec_jul,window_pv_reporting.building_elec_jun,window_pv_reporting.building_elec_mar,window_pv_reporting.building_elec_may,window_pv_reporting.building_elec_nov,window_pv_reporting.building_elec_oct,window_pv_reporting.building_elec_sep,window_pv_reporting.building_gas_apr,window_pv_reporting.building_gas_aug,window_pv_reporting.building_gas_dec,window_pv_reporting.building_gas_feb,window_pv_reporting.building_gas_jan,window_pv_reporting.building_gas_jul,window_pv_reporting.building_gas_jun,window_pv_reporting.building_gas_mar,window_pv_reporting.building_gas_may,window_pv_reporting.building_gas_nov,window_pv_reporting.building_gas_oct,window_pv_reporting.building_gas_sep,window_pv_reporting.capacity_factor,window_pv_reporting.light_energy_apr,window_pv_reporting.light_energy_aug,window_pv_reporting.light_energy_dec,window_pv_reporting.light_energy_feb,window_pv_reporting.light_energy_jan,window_pv_reporting.light_energy_jul,window_pv_reporting.light_energy_jun,window_pv_reporting.light_energy_mar,window_pv_reporting.light_energy_may,window_pv_reporting.light_energy_nov,window_pv_reporting.light_energy_oct,window_pv_reporting.light_energy_sep,window_pv_reporting.panel_dc_gen_apr,window_pv_reporting.panel_dc_gen_aug,window_pv_reporting.panel_dc_gen_dec,window_pv_reporting.panel_dc_gen_feb,window_pv_reporting.panel_dc_gen_jan,window_pv_reporting.panel_dc_gen_jul,window_pv_reporting.panel_dc_gen_jun,window_pv_reporting.panel_dc_gen_mar,window_pv_reporting.panel_dc_gen_may,window_pv_reporting.panel_dc_gen_nov,window_pv_reporting.panel_dc_gen_oct,window_pv_reporting.panel_dc_gen_sep,window_pv_reporting.total_electricity,window_pv_reporting.total_electricity_cooling,window_pv_reporting.total_electricity_heating,window_pv_reporting.total_electricity_lighting,window_pv_reporting.total_gas,window_pv_reporting.total_gas_heating,window_pv_reporting.total_pv
DOE Autogenerated 177,0006a62c-95b1-4cf0-822a-846a79aadfdd,2020-06-30T21:35:33.940Z,2020-06-30T21:40:05.315Z,completed,completed normal,W,30.0,SAU_Riyadh.404380_IWEC.epw,0.65,53633.0,145.46,215.84,123.33,119.99,125.68,206.85,199.27,142.38,185.1,141.03,164.29,185.02,6.59,6.15,7.95,7.16,8.3,5.82,5.88,7.68,6.52,7.29,6.96,6.19,0.403519,28.49,34.24,27.43,26.13,28.09,32.13,33.01,30.26,33.64,28.85,30.89,31.23,13.28,18.08,6.77,9.95,7.79,18.32,18.53,12.35,17.97,9.59,14.91,16.58,1954.22998,582.669983,0.0,364.390015,82.510002,5.12,164.109866
DOE Autogenerated 151,00750fc2-190d-41a9-bcb2-59b95d2ed2b2,2020-06-30T21:32:29.972Z,2020-06-30T21:36:45.641Z,completed,completed normal,E,5.0,SAU_Riyadh.404380_IWEC.epw,0.65,53633.0,144.02,215.48,121.73,117.55,122.99,206.22,198.53,140.5,184.22,139.71,163.66,184.74,6.6,6.15,8.32,7.34,8.87,5.8,5.89,7.6,6.53,7.26,6.94,6.19,0.469698,31.05,34.74,31.69,29.92,32.34,32.51,33.41,34.69,34.83,32.16,33.23,32.31,17.1,18.74,10.38,13.13,13.54,19.36,18.87,15.26,18.11,12.34,16.53,17.65,1939.359985,547.150024,0.0,392.869995,83.480003,6.09,191.024581
DOE Autogenerated 77,00e4a3b4-cb27-4a8d-a8b6-214f57ded7b4,2020-06-30T21:25:33.513Z,2020-06-30T21:28:26.443Z,completed,completed normal,W,30.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.4,53633.0,95.57,112.07,120.52,103.18,120.5,113.9,109.65,109.14,104.07,115.45,108.68,99.55,21.94,9.75,152.18,97.25,145.96,9.43,9.71,66.8,10.58,121.88,47.36,10.95,0.085929,25.93,29.24,32.77,27.77,32.87,27.68,28.31,29.65,29.04,31.78,29.66,27.35,2.52,3.5,0.0,0.04,0.01,4.72,5.56,0.14,3.92,0.02,0.06,1.0,1312.290039,38.57,0.0,352.049988,703.799988,587.97998,21.505884
DOE Autogenerated 247,0156e337-4727-4e77-94a5-835596c2da28,2020-06-30T21:41:40.531Z,2020-06-30T21:45:32.488Z,completed,completed normal,W,50.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.65,53633.0,109.87,131.55,143.97,121.76,142.96,139.76,131.4,126.67,121.17,136.13,124.73,112.4,17.52,9.71,158.95,86.51,144.61,9.43,9.71,50.19,10.41,114.85,37.1,10.58,0.007382,24.84,27.67,32.55,27.0,32.37,25.58,26.14,28.66,27.44,31.04,28.72,26.3,0.48,0.37,0.0,0.07,0.01,0.51,0.51,0.22,0.48,0.04,0.09,0.22,1542.359985,61.709999,0.02,338.309998,659.580017,543.76001,3.002072
DOE Autogenerated 90,038adaa5-f9e0-4f6d-a350-5180f7f85016,2020-06-30T21:28:26.884Z,2020-06-30T21:32:15.724Z,completed,completed normal,ESW,40.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.4,53633.0,97.85,116.18,124.08,106.12,124.05,118.79,114.17,111.89,107.71,118.71,111.25,101.86,22.94,9.76,149.83,99.52,145.45,9.43,9.72,73.77,10.7,122.89,51.22,10.98,0.047966,25.79,28.85,32.77,27.77,32.87,26.89,27.44,29.65,28.61,31.78,29.65,27.28,3.02,8.39,0.03,0.39,0.12,11.53,8.54,0.89,6.92,0.19,0.45,1.55,1352.670044,45.529999,0.01,349.329987,716.210022,600.390015,42.016681
DOE Autogenerated 348,03ae7474-0b70-4f59-bb3a-f4b70f8a83fc,2020-06-30T21:51:55.368Z,2020-06-30T21:57:40.339Z,completed,completed normal,S,50.0,SAU_Riyadh.404380_IWEC.epw,0.9,53633.0,181.65,264.82,151.75,150.12,157.16,256.31,245.45,175.8,229.41,176.37,206.75,230.94,6.71,6.29,8.06,7.32,8.44,5.98,6.04,7.75,6.65,7.44,7.06,6.27,0.053676,24.68,27.74,26.59,24.65,27.18,25.86,26.49,27.8,27.55,27.18,27.18,26.01,0.79,1.57,2.28,1.32,2.32,0.54,0.48,1.16,0.6,11.97,16.87,5.44,2426.530029,904.26001,0.0,318.910004,84.010002,6.62,45.338855
DOE Autogenerated 154,03c8beab-6d01-43b0-9a50-9aca32c14003,2020-06-30T21:32:35.378Z,2020-06-30T21:36:59.281Z,completed,completed normal,N,5.0,SAU_Riyadh.404380_IWEC.epw,0.65,53633.0,144.02,215.48,121.73,117.55,122.99,206.22,198.53,140.5,184.22,139.71,163.66,184.74,6.6,6.15,8.32,7.34,8.87,5.8,5.89,7.6,6.53,7.26,6.94,6.19,0.215297,31.05,34.74,31.69,29.92,32.34,32.51,33.41,34.69,34.83,32.16,33.23,32.31,11.72,12.54,6.89,8.28,7.65,15.86,16.65,10.29,14.66,7.81,8.86,10.16,1939.359985,547.150024,0.0,392.869995,83.480003,6.09,131.340407
DOE Autogenerated 270,042146b2-cce8-4c68-aeff-3a22953088e7,2020-06-30T21:44:46.585Z,2020-06-30T21:48:02.887Z,completed,completed normal,ESW,20.0,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,0.65,53633.0,107.14,149.1,106.66,99.26,108.64,135.07,121.99,112.38,114.91,114.32,120.67,137.33,7.28,7.76,8.29,7.29,8.3,7.38,7.34,8.07,7.72,7.63,7.57,7.35,0.452666,29.77,34.65,29.51,28.02,29.88,32.23,32.93,32.4,33.83,31.25,31.91,32.14,54.89,58.05,52.31,48.8,50.39,54.13,48.53,54.97,48.92,57.26,56.61,59.49,1427.439941,152.160004,0.0,378.519989,91.980003,2.53,644.3392
DOE Autogenerated 170,043f82fe-1e77-41db-8a42-feeaa1eacd9c,2020-06-30T21:34:50.165Z,2020-06-30T21:39:13.496Z,completed,completed normal,ESW,20.0,SAU_Riyadh.404380_IWEC.epw,0.65,53633.0,144.22,215.48,121.09,117.53,122.97,206.22,198.53,140.41,184.21,140.08,163.72,184.74,6.59,6.15,8.04,7.18,8.45,5.8,5.89,7.59,6.53,7.25,6.94,6.19,0.477897,30.65,34.74,29.16,28.37,30.13,32.51,33.41,33.47,34.83,31.66,33.05,32.31,51.27,55.41,50.9,56.06,60.49,51.34,49.68,57.94,52.05,61.85,71.41,61.84,1939.199951,554.340027,0.0,384.290009,82.589996,5.2,680.253983
DOE Autogenerated 94,04970ba0-bf18-4cf3-81c7-2b9ded0dbc61,2020-06-30T21:28:41.921Z,2020-06-30T21:32:37.824Z,completed,completed normal,N,45.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.4,53633.0,100.0,119.3,127.39,108.84,127.42,122.48,117.33,114.46,110.57,121.75,113.65,103.8,22.49,9.72,146.47,96.69,141.38,9.44,9.72,71.94,10.59,119.44,49.37,10.84,0.004272,25.77,28.77,32.77,27.77,32.87,26.69,27.23,29.65,28.52,31.78,29.65,27.27,0.17,0.2,0.0,0.03,0.01,0.3,0.34,0.1,0.28,0.02,0.05,0.1,1386.98999,48.93,0.01,348.720001,698.080017,582.26001,1.60368
